Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D8.0mm_P3.80mm,1,C_Polarized_Small_US,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J2, J3, J4, J6",TerminalBlock_bornier-2_P5.08mm,5,Screw_Terminal_01x02,
J5,TerminalBlock_bornier-3_P5.08mm,1,Screw_Terminal_01x03,
Q1,TO-220-3_Vertical,1,IRLZ44N,
Q2,TO-92L_Inline,1,2N2646,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k Ω,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,270 Ω,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,220 Ω,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,330 Ω,
"RV1, RV2",Potentiometer_Bourns_3339P_Vertical,2,R_Potentiometer_Trim_US,
SW1,PinHeader_1x03_P2.54mm_Vertical,1,SW_DPDT_x2,
U1,NodeMCU-32S,1,ESP32-DevKitC,
U2,DCDC_Generic-5v,1,Generic_5v_Module,
U3,SIP4_Sharp-SSR_P7.62mm_Straight,1,S216S01,
